Schema,Table,Column,Expression
dbo,PM20000,POSTEDDT,"Date(Floor(Num(POSTEDDT))) as POSTEDDT"
dbo,PM20000,MODIFDT,"Date(Floor(Num(MODIFDT))) as MODIFDT"
dbo,PM20000,PSTGDATE,"Date(Floor(Num(PSTGDATE))) as PSTGDATE"
dbo,PM20000,Tax_Date,"Date(Floor(Num(Tax_Date))) as Tax_Date"
dbo,PM20000,PRCHDATE,"Date(Floor(Num(PRCHDATE))) as PRCHDATE"
dbo,PM20000,InvoiceReceiptDate,"Date(Floor(Num(InvoiceReceiptDate))) as InvoiceReceiptDate"
dbo,PM00200,ZIPCODE,"Text(ZIPCODE) as ZIPCODE"
dbo,PM00200,ACNMVNDR,"Text(ACNMVNDR) as ACNMVNDR"
dbo,PM00200,TXIDNMBR,"Text(TXIDNMBR) as TXIDNMBR"
dbo,PM00200,MODIFDT,"Date(Floor(Num(MODIFDT))) as MODIFDT"
dbo,PM00200,CREATDDT,"Date(Floor(Num(CREATDDT))) as CREATDDT"
dbo,PM00200,BIRTHDATE,"Date(Floor(Num(BIRTHDATE))) as BIRTHDATE"



